question,option1,option2,option3,option4,correctAnswer,category
次のうち正しい冠詞はどれ？,der,die,das,den,der,文法
動詞「gehen」の1人称単数形は？,gehe,geht,gehst,gehen,gehe,文法
「彼女」はドイツ語でどれ？,er,sie,es,wir,sie,文法
定冠詞「das」の使い方は？,中性名詞に使う,女性名詞に使う,男性名詞に使う,複数名詞に使う,中性名詞に使う,文法
「sein」の2人称単数形は？,bist,bin,ist,sind,bist,文法
複数形の定冠詞は？,die,der,das,den,die,文法
「haben」の3人称単数形は？,hat,habe,hast,haben,hat,文法
形容詞の語尾変化で正しいのは？,schöne,schöner,schönes,schöneren,schöne,文法
接続詞「weil」の使い方は？,理由を表す,結果を表す,対比を表す,目的を表す,理由を表す,文法
動詞の過去形は何？,ging,geht,ginge,gegangen,ging,文法

